,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,75104000AB,48.86072515882353,2.3513025705882353,Boutique du Centre Pompidou,48.860705743053124,2.3523616790771484,Souvenir Shop
1,75104000AB,48.86072515882353,2.3513025705882353,Centre Pompidou – Musée National d'Art Moderne,48.860729707273954,2.351660414040774,Art Museum
2,75104000AB,48.86072515882353,2.3513025705882353,Sergeant Paper,48.860665157154486,2.350434511899948,Art Gallery
3,75104000AB,48.86072515882353,2.3513025705882353,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
4,75104000AB,48.86072515882353,2.3513025705882353,Cave à Bulles,48.86106822154757,2.350510874028137,Beer Store
5,75104000AB,48.86072515882353,2.3513025705882353,Amorino,48.860728471150594,2.351151788025163,Ice Cream Shop
6,75104000AC,48.859091575,2.3508429964285718,L'Alsacien,48.85827502747949,2.3503806119494897,Alsatian Restaurant
7,75104000AC,48.859091575,2.3508429964285718,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
8,75104000AC,48.859091575,2.3508429964285718,Maison Marnay,48.858741246959156,2.3500451167414282,Bakery
9,75104000AC,48.859091575,2.3508429964285718,Place Igor Stravinsky,48.85975359225572,2.351607809431085,Plaza
10,75104000AC,48.859091575,2.3508429964285718,Monsieur Benjamin,48.859222,2.3502703,Dessert Shop
11,75104000AC,48.859091575,2.3508429964285718,Boulangerie Julien,48.85879200017751,2.350079250433302,Bakery
12,75104000AC,48.859091575,2.3508429964285718,Bagel Baget Cafe,48.858841,2.350697,Bagel Shop
13,75104000AC,48.859091575,2.3508429964285718,Lucky Records,48.85855571435748,2.351442096251484,Record Shop
14,75104000AC,48.859091575,2.3508429964285718,Au Verre Luisant,48.85851198538477,2.3516372775073604,Gastropub
15,75104000AC,48.859091575,2.3508429964285718,Grizzli Café,48.85859765788763,2.349999577811831,French Restaurant
16,75104000AC,48.859091575,2.3508429964285718,Benoit Paris,48.858428,2.350068,French Restaurant
17,75104000AC,48.859091575,2.3508429964285718,Les Piétons,48.85911993435765,2.3499166802896037,Tapas Restaurant
18,75104000AC,48.859091575,2.3508429964285718,Meating Corner,48.85920487696103,2.349763624370098,Burger Joint
